Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,Motion_Level,sequence
brain_AXT1_201_6002836,0,0.9915707755983189,0.9983,0.8545,39.35730623492258,1,t1
brain_AXT1_201_6002836,1,0.9578545785233415,0.9962,0.7427,32.22299484797148,1,t1
brain_AXT1_201_6002836,2,0.9572352457858988,0.9956,0.7681,33.599260868191855,1,t1
brain_AXT1_201_6002836,3,0.9952999582595664,0.9992,0.9139,39.14370707106519,1,t1
brain_AXT1_201_6002836,4,0.982607956180237,0.9977,0.8573,37.30230057656611,1,t1
brain_AXT1_201_6002836,5,0.979515263691904,0.9975,0.8302,38.67791036430528,1,t1
brain_AXT1_201_6002836,6,0.9790150387343748,0.9979,0.8316,36.76577000620319,1,t1
brain_AXT1_201_6002836,7,0.9857832994502054,0.9987,0.8599,38.63499089952885,1,t1
brain_AXT1_201_6002836,8,0.9941266388555032,0.9988,0.8483,40.55417734680421,1,t1
brain_AXT1_201_6002836,9,0.99323533697869,0.9989,0.8528,38.5598673833548,1,t1
brain_AXT1_201_6002836,10,0.9949492665055882,0.9988,0.839,39.66436173413076,1,t1
brain_AXT1_201_6002836,11,0.9870009130475076,0.9982,0.828,32.93785720844234,1,t1
brain_AXT1_201_6002836,12,0.991235611869094,0.9983,0.8022,35.017241035474704,1,t1
brain_AXT1_201_6002836,13,0.9898924508655936,0.9986,0.7803,34.83020781080272,1,t1
brain_AXT1_201_6002836,14,0.9775279726494526,0.9961,0.6541,31.656136558735625,1,t1
brain_AXT1_201_6002836,15,0.964478917805486,0.9959,0.6339,27.315078585467685,1,t1
brain_AXT1_201_6002779,0,0.9838401580608824,0.9982,0.8593,33.40836794436896,1,t1
brain_AXT1_201_6002779,1,0.9902218688868972,0.9986,0.879,39.23792890814868,1,t1
brain_AXT1_201_6002779,2,0.9880742757594912,0.998,0.8479,40.23636354460571,1,t1
brain_AXT1_201_6002779,3,0.9727918867384492,0.9965,0.7886,36.47262150768883,1,t1
brain_AXT1_201_6002779,4,0.9553630062311056,0.9957,0.7468,30.10022799884849,1,t1
brain_AXT1_201_6002779,5,0.9685769294048976,0.9969,0.7845,33.88893045601614,1,t1
brain_AXT1_201_6002779,6,0.997891847800866,0.9995,0.914,44.53270573530229,1,t1
brain_AXT1_201_6002779,7,0.9891381054803086,0.9983,0.8309,37.46399453308329,1,t1
brain_AXT1_201_6002779,8,0.994224899693191,0.999,0.8866,38.37205612529147,1,t1
brain_AXT1_201_6002779,9,0.9930330795696446,0.9985,0.8458,40.673399230185694,1,t1
brain_AXT1_201_6002779,10,0.9874608565892592,0.9984,0.8277,33.49060362907337,1,t1
brain_AXT1_201_6002779,11,0.9920346613432092,0.9985,0.8253,37.14970352238878,1,t1
brain_AXT1_201_6002779,12,0.9888926320034832,0.9984,0.798,37.57182028925583,1,t1
